frame_id,execution_order,baseline_preprocess_ms,baseline_inference_ms,baseline_postprocess_ms,baseline_pipeline_ms,baseline_steering_error,baseline_steering_cmd,baseline_lane_pixels,baseline_valid,baseline_reference_x,baseline_reference_y,baseline_raw_error_q15,rtl_preprocess_ms,rtl_inference_ms,rtl_postprocess_ms,rtl_pipeline_ms,rtl_steering_error,rtl_steering_cmd,rtl_lane_pixels,rtl_valid,rtl_reference_x,rtl_reference_y,rtl_raw_error_q15,steering_error_abs_diff,steering_cmd_abs_diff,rtl_copy_ms,rtl_compute_ms
72,baseline_overlay_pass->release->rtl_overlay_pass,5.650662,15.878978,2.886417,24.463467,0.109375,0.021875,11911,True,142,179,3584,5.566352,15.310948,0.889923,21.813404,0.109375,0.021875,11911,True,142,,3584,0.0,0.0,0.360485,0.350275
73,baseline_overlay_pass->release->rtl_overlay_pass,6.017767,14.710319,3.268913,24.053011,0.109375,0.021875,11920,True,142,179,3584,6.537727,14.705998,1.261529,22.550795,0.109375,0.021875,11920,True,142,,3584,0.0,0.0,0.388836,0.553018
74,baseline_overlay_pass->release->rtl_overlay_pass,5.623691,14.323062,3.05318,23.049204,0.109375,0.021875,11912,True,142,179,3584,5.649373,14.619917,1.044925,21.364667,0.109375,0.021875,11912,True,142,,3584,0.0,0.0,0.488377,0.341425
75,baseline_overlay_pass->release->rtl_overlay_pass,5.658101,14.361263,2.853986,22.913851,0.109375,0.021875,11914,True,142,179,3584,5.658534,14.642377,0.908194,21.255485,0.109375,0.021875,11914,True,142,,3584,0.0,0.0,0.384675,0.337055
76,baseline_overlay_pass->release->rtl_overlay_pass,6.111489,14.373313,2.890887,23.42532,0.109375,0.021875,11922,True,142,179,3584,5.695875,14.355353,0.922494,21.020062,0.109375,0.021875,11922,True,142,,3584,0.0,0.0,0.373885,0.365475
77,baseline_overlay_pass->release->rtl_overlay_pass,5.972767,14.722919,2.880346,23.627394,0.109375,0.021875,11926,True,142,179,3584,5.587733,14.243821,0.902383,20.777278,0.109375,0.021875,11926,True,142,,3584,0.0,0.0,0.377785,0.338675
78,baseline_overlay_pass->release->rtl_overlay_pass,6.006007,15.307718,2.817696,24.179242,0.109375,0.021875,11917,True,142,179,3584,5.814587,14.398444,0.904883,21.164404,0.109375,0.021875,11917,True,142,,3584,0.0,0.0,0.382876,0.333555
79,baseline_overlay_pass->release->rtl_overlay_pass,5.639372,15.166956,2.890407,23.745555,0.109375,0.021875,11911,True,142,179,3584,5.884727,14.295252,0.911494,21.135943,0.109375,0.021875,11911,True,142,,3584,0.0,0.0,0.380195,0.344105
80,baseline_overlay_pass->release->rtl_overlay_pass,5.641762,14.991363,2.996259,23.679284,0.109375,0.021875,11918,True,142,179,3584,6.379555,15.645752,0.892034,22.968391,0.109375,0.021875,11918,True,142,,3584,0.0,0.0,0.370305,0.340365
81,baseline_overlay_pass->release->rtl_overlay_pass,5.669352,14.77591,3.254603,23.754315,0.109375,0.021875,11915,True,142,179,3584,5.805316,14.544956,0.952414,21.348906,0.109375,0.021875,11915,True,142,,3584,0.0,0.0,0.412676,0.348365
82,baseline_overlay_pass->release->rtl_overlay_pass,5.633931,14.333003,2.895777,22.913772,0.109375,0.021875,11898,True,142,179,3584,5.796626,14.82456,0.876693,21.544869,0.109375,0.021875,11898,True,142,,3584,0.0,0.0,0.360206,0.334995
83,baseline_overlay_pass->release->rtl_overlay_pass,5.716243,14.475955,2.914398,23.153876,0.109375,0.021875,11924,True,142,179,3584,6.042739,14.956962,0.841003,21.885435,0.109375,0.021875,11924,True,142,,3584,0.0,0.0,0.337425,0.328935
84,baseline_overlay_pass->release->rtl_overlay_pass,5.850105,14.906972,2.861917,23.665694,0.109375,0.021875,11858,True,142,179,3584,5.594632,14.677977,0.897803,21.216545,0.109375,0.021875,11858,True,142,,3584,0.0,0.0,0.387405,0.329885
85,baseline_overlay_pass->release->rtl_overlay_pass,5.947037,15.071965,2.840936,23.909638,0.109375,0.021875,11861,True,142,179,3584,5.617144,14.908151,0.873203,21.443678,0.109375,0.021875,11861,True,142,,3584,0.0,0.0,0.356275,0.337165
86,baseline_overlay_pass->release->rtl_overlay_pass,5.640472,15.918289,2.832926,24.441207,0.109375,0.021875,11878,True,142,179,3584,5.657504,14.643617,0.975314,21.323696,0.109375,0.021875,11878,True,142,,3584,0.0,0.0,0.410886,0.367785
87,baseline_overlay_pass->release->rtl_overlay_pass,5.606261,15.145106,2.972048,23.773626,0.109375,0.021875,11856,True,142,179,3584,5.673504,14.559906,1.067136,21.350827,0.109375,0.021875,11856,True,142,,3584,0.0,0.0,0.510938,0.340305
88,baseline_overlay_pass->release->rtl_overlay_pass,5.622091,14.873851,3.318174,23.870027,0.109375,0.021875,11850,True,142,179,3584,5.689405,14.334562,0.900733,20.971421,0.109375,0.021875,11850,True,142,,3584,0.0,0.0,0.378025,0.339545
89,baseline_overlay_pass->release->rtl_overlay_pass,5.623061,14.958153,3.217732,23.855777,0.109375,0.021875,11850,True,142,179,3584,5.751445,14.377223,0.899113,21.076072,0.109375,0.021875,11850,True,142,,3584,0.0,0.0,0.376435,0.337475
90,baseline_overlay_pass->release->rtl_overlay_pass,5.817255,14.842551,3.323014,24.03532,0.109375,0.021875,11858,True,142,179,3584,5.642914,14.379903,0.921073,20.991411,0.109375,0.021875,11858,True,142,,3584,0.0,0.0,0.399786,0.333365
91,baseline_overlay_pass->release->rtl_overlay_pass,5.737313,14.344493,2.899077,23.026453,0.109375,0.021875,11853,True,142,179,3584,5.626804,14.309612,0.903274,20.88589,0.109375,0.021875,11853,True,142,,3584,0.0,0.0,0.377385,0.337095
92,baseline_overlay_pass->release->rtl_overlay_pass,6.433695,14.402344,2.856276,23.739455,0.109375,0.021875,11853,True,142,179,3584,5.671404,14.559926,0.885293,21.160243,0.109375,0.021875,11853,True,142,,3584,0.0,0.0,0.368476,0.332945
93,baseline_overlay_pass->release->rtl_overlay_pass,6.059098,15.848607,2.872817,24.832343,0.109375,0.021875,11865,True,142,179,3584,5.584722,14.489954,0.916283,21.035672,0.109375,0.021875,11865,True,142,,3584,0.0,0.0,0.393396,0.335115
94,baseline_overlay_pass->release->rtl_overlay_pass,5.621311,15.583663,2.883246,24.139691,0.109375,0.021875,11842,True,142,179,3584,5.818966,14.387703,0.927493,21.178764,0.109375,0.021875,11842,True,142,,3584,0.0,0.0,0.369216,0.334515
95,baseline_overlay_pass->release->rtl_overlay_pass,5.637181,15.296098,2.901127,23.881717,0.109375,0.021875,11861,True,142,179,3584,6.323544,14.426784,0.901564,21.696212,0.109375,0.021875,11861,True,142,,3584,0.0,0.0,0.371876,0.340655
96,baseline_overlay_pass->release->rtl_overlay_pass,5.605021,15.123586,5.695092,26.47702,0.109375,0.021875,11873,True,142,179,3584,7.688604,14.778639,0.880093,23.395627,0.109375,0.021875,11873,True,142,,3584,0.0,0.0,0.357725,0.338665
97,baseline_overlay_pass->release->rtl_overlay_pass,5.592691,14.573106,3.512747,23.735945,0.109375,0.021875,11887,True,142,179,3584,5.675554,16.589756,0.840673,23.151733,0.109375,0.021875,11887,True,142,,3584,0.0,0.0,0.333844,0.332025
98,baseline_overlay_pass->release->rtl_overlay_pass,5.658982,14.342363,3.248483,23.303588,0.109375,0.021875,11858,True,142,179,3584,5.660654,15.315927,0.845052,21.868054,0.109375,0.021875,11858,True,142,,3584,0.0,0.0,0.338785,0.329985
99,baseline_overlay_pass->release->rtl_overlay_pass,5.670662,14.389013,2.895887,23.003223,0.109375,0.021875,11891,True,142,179,3584,5.712525,14.631997,0.870313,21.262775,0.109375,0.021875,11891,True,142,,3584,0.0,0.0,0.356556,0.335385
100,baseline_overlay_pass->release->rtl_overlay_pass,5.656512,14.359503,2.905597,22.974503,0.109375,0.021875,11895,True,142,179,3584,5.648154,14.719468,0.885803,21.298546,0.109375,0.021875,11895,True,142,,3584,0.0,0.0,0.361615,0.341285
